Tfc,Pa_des,Pc_des,Sa,Sc,Phi_a_des,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,a_slim,b_slim,a_switch,start_in_range,early_values_in_range,monotonic,aprox_monotonic,classification
3.576627905181904339e+02,1.784495936528900929e+05,1.764495936528900929e+05,1.300000000000000044e+00,2.791807361239046159e+00,5.000000000000000000e-01,1.855482900103894162e-01,7.625176243715258151e-01,3.140905441375636098e+00,1.800914245466045671e-01,2.573729690965680383e-01,5.000000000000000000e+00,1.240224389005794616e-06,2.051838446833838532e+02,2.424140548429722131e+01,2.286093139540753771e+00,6.762842874644207081e-01,1.961086842055215773e-01,7.453067633246817092e-01,True,False,True,True,valid
3.445006095153974570e+02,1.490062968851485057e+05,1.470062968851485057e+05,1.300000000000000044e+00,2.063863686868164127e+00,5.000000000000000000e-01,5.230884132946870269e-01,5.649635173221732032e-01,3.464644596865470216e+00,3.539048887695520618e-01,2.309192096389366400e-01,4.000000000000000000e+00,3.058222204647577731e-06,3.718768190220607153e+02,2.112560268628345383e+01,1.815596949285218642e+00,4.142011526954671452e-01,6.396846591530305076e-03,8.480097570961891984e-01,True,True,True,True,valid
3.480812959653267171e+02,2.101646691041606537e+05,2.081646691041606537e+05,1.300000000000000044e+00,1.398912314299097126e+00,5.000000000000000000e-01,2.923357210237773063e-01,7.843332448285694758e-01,1.186575276789412214e+00,3.381224336231024585e-01,2.732940919014882897e-01,3.000000000000000000e+00,2.514278103104590874e-06,3.663815647236490349e+02,3.929348520535905465e+01,2.743350440427101411e-01,7.475909406099326970e-01,6.733077951582021603e-01,9.967370061469127407e-01,True,True,True,True,valid
3.625896213921209892e+02,1.397802161651332572e+05,1.377802161651332572e+05,1.300000000000000044e+00,1.670468325918110342e+00,5.000000000000000000e-01,3.860431421331259050e-01,6.110659767383173069e-01,2.144047240562195533e+00,3.041373602156659528e-01,1.887767426955786754e-01,3.000000000000000000e+00,4.402371075585697642e-06,9.658296422809669934e+01,1.315363325104529579e+01,5.077877950578725041e+00,2.947562977035707299e-02,2.950767086293917818e-01,5.663574711902606973e-01,True,True,True,True,valid
3.594866929306670613e+02,2.021736846712293336e+05,2.001736846712293336e+05,1.300000000000000044e+00,1.224502871354589129e+00,5.000000000000000000e-01,5.444437378376131287e-01,5.673100912076051161e-01,1.871998011810003693e+00,2.367683286865818748e-01,2.062854774351486897e-01,4.000000000000000000e+00,2.912934908625730861e-06,4.961966523188203269e+02,3.422761811223067241e+01,1.249742429673392552e+00,5.355124144706095712e-02,3.451925465785737335e-01,4.329159702425148248e-01,True,True,True,True,valid
3.551544734421036082e+02,1.688383034881803906e+05,1.668383034881803906e+05,1.300000000000000044e+00,1.171810185583755715e+00,5.000000000000000000e-01,2.813097616258672384e-01,5.998190643996100802e-01,3.195903110022371152e+00,3.132979434794387896e-01,2.520546557508033247e-01,3.000000000000000000e+00,3.598747344740708033e-06,2.311025365093070150e+02,3.392984161417873423e+01,3.662725439958294693e+00,3.034936630084945075e-01,5.974100921562515154e-01,6.654879379968846598e-01,True,True,True,True,valid
3.582370932630002471e+02,1.432445780094797374e+05,1.232445780094797374e+05,1.300000000000000044e+00,1.117026471667900589e+00,5.000000000000000000e-01,6.560425738206868695e-01,6.662943150827780325e-01,3.456753272704121915e+00,3.265231032149855106e-01,1.526776415799497577e-01,5.000000000000000000e+00,3.594693920016288909e-06,2.306191767499804826e+02,3.826591182252745682e+01,1.647690190672784283e+01,1.402450331725917931e-01,7.859892601691440550e-01,1.261919047939291660e-01,True,True,True,True,valid
3.340377592779645397e+02,2.490856407862116466e+05,2.290856407862116466e+05,1.300000000000000044e+00,1.175329006450259062e+00,5.000000000000000000e-01,6.285652516589785854e-01,7.377923999970532609e-01,1.086122024916981177e+00,3.899388923093896064e-01,2.952219273863694871e-01,5.000000000000000000e+00,9.959687036275863488e-07,6.191076599008069081e+01,1.826893624630968560e+01,6.801426509314765223e-01,5.278695816188168077e-01,4.992769677336578726e-01,2.056699739372873717e-02,True,True,True,True,valid
3.576921619335767559e+02,1.403850595001219190e+05,1.203850595001219190e+05,1.300000000000000044e+00,1.234454713312664875e+00,5.000000000000000000e-01,5.111114854208796965e-01,7.969956088072212008e-01,1.005437272320032882e+00,1.933204630540864000e-01,1.902675285679241157e-01,4.000000000000000000e+00,2.423588561415672399e-06,9.726099286575067993e+01,6.547466683002901355e+00,5.724695240620570225e+00,3.281204651026846109e-01,3.750065894061505728e-02,3.321011034823966868e-01,True,True,True,True,valid
3.576921619335767559e+02,1.403850595001219190e+05,1.203850595001219190e+05,1.300000000000000044e+00,1.234454713312664875e+00,5.000000000000000000e-01,5.111114854208796965e-01,7.969956088072212008e-01,1.005437272320032882e+00,1.933204630540864000e-01,1.902675285679241157e-01,4.000000000000000000e+00,2.423588561415672399e-06,9.726099286575067993e+01,1.142215228686019302e+01,5.724695240620570225e+00,3.281204651026846109e-01,3.750065894061505728e-02,3.321011034823966868e-01,True,True,True,True,valid
3.539739473981072138e+02,2.230245450977226428e+05,2.030245450977226428e+05,1.300000000000000044e+00,1.674245040255587291e+00,5.000000000000000000e-01,1.812393691667804618e-01,5.972132341767036889e-01,1.254349150617342534e+00,1.946049190646833016e-01,1.604057656113729025e-01,3.000000000000000000e+00,3.657439948916435845e-06,9.453144040472838583e+01,1.956169673933466413e+01,2.303964557945178959e-01,4.705337738923563995e-01,6.229709464718084268e-03,8.824830090498921864e-01,True,True,True,True,valid
3.499443269992323735e+02,2.422735457122293592e+05,2.222735457122293592e+05,1.300000000000000044e+00,2.752887678291257245e+00,5.000000000000000000e-01,2.700486265599177926e-01,7.314970370819243728e-01,2.853130246021035266e+00,1.832117959713072675e-01,2.030638636932708407e-01,4.000000000000000000e+00,3.736610869765281855e-06,5.510674688151817691e+01,3.125471849424656767e+01,3.424069760369234938e+00,8.863839979306483707e-01,9.374019192595640648e-01,2.941395709484993515e-01,True,True,True,True,valid
3.582370932630002471e+02,1.432445780094797374e+05,1.232445780094797374e+05,1.300000000000000044e+00,1.117026471667900589e+00,5.000000000000000000e-01,6.560425738206868695e-01,6.662943150827780325e-01,3.456753272704121915e+00,3.265231032149855106e-01,1.526776415799497577e-01,5.000000000000000000e+00,3.594693920016288909e-06,2.306191767499804826e+02,3.826591182252745682e+01,1.647690190672784283e+01,1.402450331725917931e-01,5.477103721121582280e-01,3.100342403729632263e-04,True,True,True,True,valid
3.473350077424906317e+02,2.123946319613608648e+05,1.923946319613608648e+05,1.300000000000000044e+00,2.292584092876112312e+00,5.000000000000000000e-01,3.888234566897377231e-01,7.265835807370057964e-01,3.853987064499206028e+00,3.354480675491970931e-01,2.818198301041081599e-01,5.000000000000000000e+00,2.693468244671821773e-06,2.617040129725414772e+02,1.974838555874098134e+01,8.371790969349774958e-01,2.666597735581075629e-02,9.814528754547964251e-01,1.646658239897775544e-01,True,True,True,True,valid
3.576558561111689301e+02,2.511873187776612176e+05,2.311873187776612176e+05,1.300000000000000044e+00,1.815293647491167617e+00,5.000000000000000000e-01,3.081327299476207537e-01,7.226657672836831470e-01,3.062835384133334671e+00,3.405167464838865232e-01,1.533388178883267616e-01,4.000000000000000000e+00,1.935077355504035877e-06,1.321392981163078275e+02,2.392861530759650890e+01,1.649406838249392049e-01,6.729979853005115809e-01,1.019388218860131368e-01,5.983124690956955760e-01,True,True,True,True,valid
3.576558561111689301e+02,2.511873187776612176e+05,2.311873187776612176e+05,1.300000000000000044e+00,1.815293647491167617e+00,5.000000000000000000e-01,3.081327299476207537e-01,7.226657672836831470e-01,3.062835384133334671e+00,3.405167464838865232e-01,1.533388178883267616e-01,4.000000000000000000e+00,1.935077355504035877e-06,1.321392981163078275e+02,2.392861530759650890e+01,1.649406838249392049e-01,6.729979853005115809e-01,1.019388218860131368e-01,2.273935236541364258e-01,True,True,True,True,valid
3.452189831286582375e+02,2.211421926040194812e+05,2.011421926040194812e+05,1.300000000000000044e+00,1.390183287819482860e+00,5.000000000000000000e-01,4.653439749602674702e-01,6.133364834793435527e-01,2.909165098398069027e+00,1.764003476776613843e-01,2.679697193188728122e-01,4.000000000000000000e+00,4.563442677855492181e-06,2.118182222997145061e+02,2.263458026444343929e+01,4.995072359499986847e-01,3.246922751559920273e-01,3.918524434067784945e-01,4.902730837547070175e-01,True,True,True,True,valid
3.518588374175482727e+02,2.105014272499834769e+05,1.905014272499834769e+05,1.300000000000000044e+00,2.605982252411530808e+00,5.000000000000000000e-01,5.557491505756233519e-01,7.417180803315341908e-01,1.806591407362010404e+00,1.654211722898766002e-01,2.625962801440676064e-01,4.000000000000000000e+00,1.462577947974205126e-06,4.256215647042264436e+02,2.307526887613465050e+01,1.545728287105891718e+00,1.785961500388525691e-01,6.192671642068373616e-01,7.121491762289134941e-01,True,True,True,True,valid
3.576558561111689301e+02,2.511873187776612176e+05,2.311873187776612176e+05,1.300000000000000044e+00,2.840780442638479286e+00,5.000000000000000000e-01,3.081327299476207537e-01,7.226657672836831470e-01,3.062835384133334671e+00,3.405167464838865232e-01,1.533388178883267616e-01,4.000000000000000000e+00,1.935077355504035877e-06,1.321392981163078275e+02,2.392861530759650890e+01,1.649406838249392049e-01,6.729979853005115809e-01,1.019388218860131368e-01,5.983124690956955760e-01,True,True,True,True,valid
3.562532117553913054e+02,2.547256258968216716e+05,2.347256258968216716e+05,1.300000000000000044e+00,1.438750674117983852e+00,5.000000000000000000e-01,5.187031419495575779e-01,7.016462606015647641e-01,1.640317586393883698e+00,3.888380397776012298e-01,1.925955739237358300e-01,4.000000000000000000e+00,4.834410240650177110e-06,2.297647705560234783e+02,2.098438767760439205e+01,1.505710753066529906e+00,5.858366192846303777e-01,4.484365574152362477e-01,9.860660783590843304e-01,True,True,True,True,valid
3.368335138261255679e+02,1.797871599905234179e+05,1.597871599905234179e+05,1.300000000000000044e+00,2.761325810998871866e+00,5.000000000000000000e-01,4.648571590694334787e-01,7.705605062576144082e-01,2.751929799277909261e+00,2.451882710781024821e-01,1.819008868842480475e-01,5.000000000000000000e+00,1.354294920563697984e-06,4.365724927762465200e+02,2.994969487891499682e+01,1.573070241510499345e+00,4.939733601791664735e-02,5.483725154411123182e-01,3.238672574818338146e-01,True,True,True,True,valid
3.572907178340008727e+02,2.823863811232069856e+05,2.623863811232069856e+05,1.300000000000000044e+00,2.017264275504273563e+00,5.000000000000000000e-01,2.325730353523461635e-01,6.258522371498504988e-01,3.564646222050269486e+00,3.018822090614918796e-01,1.598335932284476457e-01,5.000000000000000000e+00,4.577390623092651824e-06,9.242537596110143738e+01,2.591829062639226322e+01,1.505710753066529906e+00,2.602484280107468170e-02,2.773098422048937417e-01,8.531013451676873194e-01,True,True,True,True,valid
3.548358016154791699e+02,1.840707052871621272e+05,1.640707052871621272e+05,1.300000000000000044e+00,2.875613655679360114e+00,5.000000000000000000e-01,1.630631680416872731e-01,7.594231718202160142e-01,3.397326775432270907e+00,3.612313188545270837e-01,2.352967083229363099e-01,4.000000000000000000e+00,2.085418083667755065e-06,1.269738213853025428e+02,3.990840072180309051e+01,2.584536569362872793e+00,1.817010189147524532e-02,2.728860758964293254e-01,2.838607650637205437e-01,True,True,True,True,valid
3.473350077424906317e+02,2.123946319613608648e+05,1.923946319613608648e+05,1.300000000000000044e+00,2.292584092876112312e+00,5.000000000000000000e-01,3.888234566897377231e-01,7.265835807370057964e-01,3.853987064499206028e+00,2.060866807770072584e-01,2.818198301041081599e-01,5.000000000000000000e+00,2.693468244671821773e-06,2.617040129725414772e+02,1.974838555874098134e+01,8.371790969349774958e-01,1.357622750307859172e-01,9.814528754547964251e-01,1.646658239897775544e-01,True,True,True,True,valid
3.417316628401047183e+02,1.445410765148782230e+05,1.245410765148782230e+05,1.300000000000000044e+00,2.573692899924644450e+00,5.000000000000000000e-01,1.149496255464392130e-01,6.803503779139425944e-01,2.793593370261021391e+00,3.960212138056345976e-01,2.870698544324676860e-01,3.000000000000000000e+00,4.132270125746727478e-06,9.820937490746601384e+01,3.842359224302612120e+01,3.067010091691075857e+00,2.117887904767773166e-01,6.003520263777641919e-01,8.634440565436130033e-01,True,True,True,True,valid
3.339033948556433984e+02,2.593249701894767350e+05,2.393249701894767350e+05,1.300000000000000044e+00,2.459742393408778760e+00,5.000000000000000000e-01,5.206833866243931741e-01,5.785788637423080472e-01,1.356445575306081563e+00,3.520242965162385662e-01,1.875646146568090145e-01,4.000000000000000000e+00,3.363742576837540193e-06,4.510910730089007075e+02,3.571528171141026320e+01,1.466273619255552552e+00,8.376706389231403094e-01,4.073237273750899279e-01,6.654036626666628429e-01,True,True,True,True,valid
3.452189831286582375e+02,2.211421926040194812e+05,2.011421926040194812e+05,1.300000000000000044e+00,1.390183287819482860e+00,5.000000000000000000e-01,4.653439749602674702e-01,6.133364834793435527e-01,2.909165098398069027e+00,1.764003476776613843e-01,2.679697193188728122e-01,4.000000000000000000e+00,4.875246902108192811e-06,2.118182222997145061e+02,2.263458026444343929e+01,4.995072359499986847e-01,3.246922751559920273e-01,3.918524434067784945e-01,4.902730837547070175e-01,True,True,True,True,valid
3.629668553185521773e+02,1.906362407747684629e+05,1.706362407747684629e+05,1.300000000000000044e+00,1.551970278033058870e+00,5.000000000000000000e-01,3.968436374449828552e-01,7.144362975959177575e-01,2.720613251832117108e+00,2.792264460464483067e-01,2.360174175097465854e-01,4.000000000000000000e+00,4.398555396795273407e-06,4.469858336623967716e+02,1.693156705745537494e+01,1.782125616776486732e+00,5.945240044687990499e-01,9.391889810268657657e-01,5.887321607158438885e-01,True,True,True,True,valid
3.417857126765403564e+02,1.445410765148782230e+05,1.245410765148782230e+05,1.300000000000000044e+00,2.573692899924644450e+00,5.000000000000000000e-01,1.149496255464392130e-01,6.803503779139425944e-01,1.802243988024752719e+00,3.960212138056345976e-01,2.870698544324676860e-01,3.000000000000000000e+00,4.132270125746727478e-06,9.820937490746601384e+01,3.842359224302612120e+01,3.067010091691075857e+00,2.117887904767773166e-01,6.003520263777641919e-01,8.634440565436130033e-01,True,True,True,True,valid
3.629668553185521773e+02,1.569287127908387338e+05,1.369287127908387338e+05,1.300000000000000044e+00,1.551970278033058870e+00,5.000000000000000000e-01,4.555609414460103368e-01,7.144362975959177575e-01,2.720613251832117108e+00,2.792264460464483067e-01,2.360174175097465854e-01,4.000000000000000000e+00,4.398555396795273407e-06,4.469858336623967716e+02,1.693156705745537494e+01,1.782125616776486732e+00,5.945240044687990499e-01,9.391889810268657657e-01,5.887321607158438885e-01,True,True,True,True,valid
3.552162786078027921e+02,2.986672949790855637e+05,2.786672949790855637e+05,1.300000000000000044e+00,2.883464754260821827e+00,5.000000000000000000e-01,3.632433983642328057e-01,7.817801991735119360e-01,1.146834613463222130e+00,2.848172388101979369e-01,2.326063813744372322e-01,4.000000000000000000e+00,7.034331738948822243e-07,3.928345145009954535e+02,3.708646945776153814e+01,1.140862526830676904e+00,4.734589630458172493e-01,8.615915839296259260e-02,3.085697899674368361e-01,True,True,True,True,valid
3.552162786078027921e+02,2.986672949790855637e+05,2.786672949790855637e+05,1.300000000000000044e+00,2.883464754260821827e+00,5.000000000000000000e-01,3.632433983642328057e-01,7.817801991735119360e-01,1.146834613463222130e+00,2.848172388101979369e-01,2.383592246914456036e-01,4.000000000000000000e+00,7.034331738948822243e-07,3.928345145009954535e+02,3.708646945776153814e+01,1.140862526830676904e+00,1.607516839032082367e-01,8.615915839296259260e-02,3.085697899674368361e-01,True,True,True,True,valid
3.589039023259605301e+02,2.625370803289059550e+05,2.425370803289059550e+05,1.300000000000000044e+00,2.743568453808232110e+00,5.000000000000000000e-01,1.239235629152142387e-01,6.571783863295476147e-01,2.982878175138890420e+00,2.483571431493425408e-01,2.545690588343218486e-01,5.000000000000000000e+00,4.600211355686188400e-06,1.634693485606588581e+01,1.483503159867729515e+00,8.076343783773297647e-01,9.886853587865471749e-01,5.295433439336042630e-02,2.118990674493094195e-01,True,True,True,True,valid
3.417857126765403564e+02,1.445410765148782230e+05,1.245410765148782230e+05,1.300000000000000044e+00,2.573692899924644450e+00,5.000000000000000000e-01,1.149496255464392130e-01,6.803503779139425944e-01,2.793593370261021391e+00,3.960212138056345976e-01,2.870698544324676860e-01,3.000000000000000000e+00,4.132270125746727478e-06,9.820937490746601384e+01,3.842359224302612120e+01,3.067010091691075857e+00,2.117887904767773166e-01,6.003520263777641919e-01,8.634440565436130033e-01,True,True,True,True,valid
