parameter;lower;upper
Tfc;336.7387352;355.6827892
Pa_des;145017.9863;299907.6209
Pc_des;126277.4254;261771.9856
Sa;1.3;1.5
Sc;1.100861708;2.906737307
Phi_a_des;0.5;0.7
Phi_c_des;0.201915862;0.659343018
epsilon_gdl;0.609166537;0.765592187
tau;1.005437272;1.167249622
epsilon_mc;0.185531911;0.399354552
epsilon_c;0.201672565;0.298359719
e;3;5
Re;5.11E-07;4.81E-06
i0_c_ref;0.108212253;68.16697441
kappa_co;17.3905694;33.04126067
kappa_c;0.024800106;2.219845283
a_slim;0.012469541;0.998285247
b_slim;0.003819327;0.989451019
a_switch;0.099682757;0.860910489
