Complexity,Loss,Equation
1,9.794702,"3.812429"
3,3.9258487,"x1 * 2.6470683e-5"
4,2.7217891,"square(x1) * 1.2866087e-10"
5,0.88402593,"(x1 * 3.390503e-5) - x17"
7,0.3228262,"(x1 * 3.8751874e-5) - (x17 * 1.651953)"
9,0.29379672,"((x1 / 80.94063) / x0) - sqrt(cube(x17))"
11,0.19250906,"((x1 / 348.88425) / (x0 + -257.11414)) - sqrt(cube(x17))"
12,0.13056803,"(13.361128 - sqrt(cube(x17))) + (square(x0) / (x2 / -8.829267))"
13,0.12810287,"(13.27349 - sqrt(cube(x17))) + ((x0 + -188.85051) / (x2 / -6677.598))"
15,0.12808491,"(13.262523 - sqrt(cube(x17))) + ((x0 - 191.72198) / ((x17 + x2) / -6796.6606))"
17,0.12807918,"(13.2706175 - sqrt(cube(x17))) + (((x0 - -24.007555) + -213.6218) / ((x17 + x2) / -6708.9424))"
19,0.12807652,"((x14 + 13.260731) - sqrt(cube(x17))) + (((x0 - -23.77661) + -213.85246) / ((x2 + -213.62132) / -6708.937))"
20,0.074635684,"(30.553623 - cube(sqrt(x17))) + (((0.0013821431 / x17) - sqrt(x0)) + ((x0 + -103.056274) / (x1 / -3723.7432)))"
