Complexity,Loss,Equation
1,0.020436842,"0.7559396"
3,0.01954339,"263.04666 / x0"
4,0.007348217,"exp(x7 * -0.1904401)"
5,0.0073267794,"(x7 * -0.12801154) + 0.948062"
6,0.00702529,"inv((x7 * 0.22632103) + 1.0141326)"
7,0.00631958,"(x7 * -0.12846519) + (330.067 / x0)"
8,0.005965452,"exp((x7 * -0.1791035) + (-0.28675836 / x1))"
9,0.003979876,"(x1 + 301.92462) / (x0 + (x7 * 76.743195))"
11,0.0038270114,"((x1 + 443.2145) / ((x7 * 45.448338) + x0)) + -0.41779774"
12,0.0035833416,"(x1 + (cube(x3) + 298.1442)) / ((x7 * 76.84221) + x0)"
13,0.0034617097,"(x1 + 295.60263) / (((x7 * 81.79546) + (x3 * -14.057831)) + x0)"
14,0.0034323458,"(-3.6263728 / (x1 + 12.73465)) + exp((x7 * -0.15440993) + (x3 * 0.043384247))"
15,0.0033871054,"(-3.546857 / (log(x2) + x1)) + exp((x3 * 0.04323136) + (x7 * -0.15469472))"
17,0.003386707,"(-3.6226718 / (log(x2) + (x1 - -0.33160156))) + exp((x3 * 0.043519717) + (x7 * -0.15431651))"
18,0.003100722,"exp((x7 * -0.15620257) - (x3 * -0.043548163)) + ((-5.4753556 / (x1 + 19.158041)) + (4.792097e-8 / x6))"
20,0.0030544044,"(((1.1824056e-6 / x4) / x6) + (-5.4595037 / (x1 + 19.16342))) + exp((x7 * -0.15569685) - (x3 * -0.043457832))"
