Complexity,Loss,Equation
1,0.020436842,"0.7559408"
3,0.01954339,"263.04666 / x0"
4,0.007348217,"exp(x7 * -0.19042134)"
5,0.00732678,"0.9480663 - (x7 * 0.12801392)"
6,0.00702529,"inv(1.0141399 - (x7 * -0.22629772))"
7,0.0060444875,"exp((inv(x1) + x7) * -0.18318158)"
9,0.004180614,"302.80252 / (((x7 * 69.46145) + x0) - x1)"
11,0.004152797,"(404.61246 / ((x0 + 120.50951) - x1)) + (x7 * -0.12812476)"
12,0.003994675,"((-0.1284813 / inv(x7)) + (300.76923 / x0)) - (x1 * -0.0020854434)"
13,0.0038510805,"((1.8526139 / (x7 + 3.81196)) / (x0 / 643.1126)) - (x1 / -437.99435)"
15,0.0034726432,"((-0.12864329 / inv(x7)) + (1.4077588 / (x0 / 189.26381))) - (log(x1) * -0.053996045)"
16,0.003296976,"((1.2583959 / (x0 / 238.18953)) + (-0.12843941 / inv(x7))) - (x1 * (x2 * -1.00812265e-8))"
17,0.0027711175,"((-0.12848501 / inv(x7)) + (1.4101278 / (x0 / 194.4844))) - ((log(x1) * x2) * -2.2049402e-7)"
19,0.0026746788,"((-0.12846027 / inv(x7)) + (1.2037226 / (x0 / 238.18924))) - (log(x1 * 0.36268726) * (x2 * -2.447347e-7))"
