Complexity,Loss,Equation
1,0.020436842,"0.75593925"
3,0.01954339,"263.04666 / x0"
4,0.007348217,"exp(x7 / -5.251258)"
5,0.0073267794,"(x7 * -0.12801172) + 0.94806176"
6,0.00702529,"inv((x7 * 0.22628948) + 1.014141)"
7,0.00631958,"(330.0595 / x0) + (x7 * -0.1284578)"
8,0.00607105,"square(342.72232 / (x0 + (x7 * 33.28632)))"
9,0.0048947665,"(x7 * -0.12801151) + ((x1 * 0.0021320905) - -0.8619133)"
10,0.004349617,"(log(x1) * 0.05537092) + ((x7 * -0.12801304) - -0.76009804)"
11,0.0036375928,"((log(x2) + log(x1)) * 0.06059254) + (x7 * -0.12806112)"
12,0.0033700448,"(x7 * -0.12843288) + ((log(x1) + 13.821487) * (19.17027 / x0))"
13,0.0027167185,"((log(x2) + log(x1)) * (21.085371 / x0)) + (x7 * -0.12831892)"
14,0.002716205,"((21.459188 / x0) + (x7 * -0.008334026)) * (x3 + (log(x1) + 10.732291))"
15,0.0022224071,"((19.539621 / x0) + (x7 * -0.007581337)) * ((x3 + log(x1)) + log(x2))"
17,0.002146766,"(log(x2) + (x3 + log(x1))) * (((26.70696 / x0) + (x7 * -0.0075575057)) + -0.02065692)"
18,0.0020924092,"(x3 + (log(x1) + log(x2))) * ((log(x2) / x0) + ((x7 * -0.007557588) + 0.020888837))"
20,0.0020919882,"(log(x2 - x0) + (x3 + log(x1))) * ((log(x2) / x0) + ((x7 * -0.0075587193) + 0.020895274))"
