Complexity,Loss,Equation
1,0.1154415,"0.7502272"
3,0.11294036,"260.59702 / x0"
4,0.0681491,"exp(x7 / -5.3870316)"
5,0.0667794,"4.5653367 / (x7 - -4.6159754)"
6,0.065570414,"exp(x7 / (-4.3571887 - x3))"
7,0.05826248,"exp(x7 / (-2.1458282 - log(x1)))"
8,0.05332736,"log(x1 + 44.053925) / (x7 - -4.458386)"
9,0.052425753,"log((log(x1) + 14.015453) / (x7 + 6.708776))"
10,0.05161352,"((log(x1) + 10.437635) * 0.3317625) / (x7 - -4.6989574)"
11,0.04867836,"((x7 * -2.0776498) + (log(x1) + log(x2))) * 0.060321175"
12,0.04483911,"(log(x1) + (x3 - -9.920071)) * (0.30957323 / (x7 - -4.560499))"
13,0.042268697,"(((x7 * -2.2697868) + log(x2)) + (x3 + log(x1))) * 0.056305572"
15,0.034883562,"(((x7 * -2.2585735) + log(x2)) + (log(x1) + x3)) * (19.51872 / x0)"
17,0.034051992,"((log(x2) + (x7 * -2.2465963)) + (x3 + log(x1))) * ((28.294432 / x0) - 0.025368271)"
19,0.033237524,"((29.344875 / x0) - 0.0274379) * ((log(x1) + (x3 * 0.75372404)) + ((x7 * -2.209293) + log(x2)))"
