Complexity,Loss,Equation
1,0.1154415,"0.75021666"
3,0.11294036,"260.59933 / x0"
4,0.0681491,"exp(x7 / -5.3871007)"
5,0.06677944,"4.5694237 / (x7 + 4.6209884)"
6,0.0667794,"inv((x7 * 0.21898842) + 1.0111319)"
7,0.06668013,"(2.5021627 / (x7 + 3.1378264)) + 0.20171094"
8,0.06355299,"(log(x2) * 0.37286058) / (x7 + 4.6023173)"
9,0.05407937,"(x1 * 0.002108188) + (3.6536207 / (x7 + 4.08431))"
11,0.05289528,"((x1 * (x3 * 0.006747567)) + 4.138606) / (x7 + 4.502732)"
13,0.04827976,"((x3 * 0.044102397) + (x1 * 0.0021226003)) + (2.9749777 / (x7 + 3.4553807))"
