Complexity,Loss,Equation
1,0.1154415,"0.7502197"
3,0.115441345,"0.7502144 - x6"
4,0.0681491,"exp(x7 * -0.18562123)"
6,0.0667794,"inv((x7 * 0.21906509) + 1.0110977)"
7,0.06672968,"inv(log((x7 + 3.4165487) * 0.78887063))"
8,0.059780646,"exp((x7 * -0.16893338) + (-0.59930134 / x1))"
10,0.05302018,"(-1.7864513 / (x1 - -5.971591)) + exp(x7 * -0.14487602)"
11,0.052984886,"(x7 * -0.12446992) + ((-3.9397135 / (x1 + 13.779468)) + 1.03601)"
12,0.051862225,"(-3.2579958 / (x1 - -11.173209)) + (exp(x7 * -0.1588872) + 0.044847805)"
13,0.050159484,"((x3 + (x1 * 0.050263457)) / 22.38651) + ((x7 * -0.12796792) - -0.8068168)"
14,0.048726607,"((x3 + (x1 * 0.049404785)) / 22.964617) + exp((x7 * -0.20820208) - 0.18163936)"
15,0.04360702,"((x1 / 485.12555) + ((x3 * 0.04117679) + (x7 * -0.12737077))) + (284.30237 / x0)"
17,0.043448403,"((x3 * 0.044468526) + ((x1 / x0) * 0.75117546)) + ((x7 * -0.12380559) + (279.15796 / x0))"
19,0.04322684,"(0.07512658 / ((x7 + 0.9327187) / x3)) + (((x1 / 662.0303) + (x7 * -0.110326834)) + (286.22784 / x0))"
21,0.04137221,"(0.060983613 / ((x7 + 0.64006376) / x3)) + (((x1 / x0) * 0.7102222) + ((x7 * -0.10461599) + (275.00018 / x0)))"
27,0.04088818,"((x1 / (x0 * 1.3866248)) + ((239.62465 / x0) + (x7 * -0.079801805))) + (((x0 / x0) * 0.07621732) / ((x7 + 1.0079044) / (x3 + 1.8096352)))"
29,0.04059965,"((x0 * (0.07584602 / x0)) / ((x7 + 1.0015266) / (x3 + 1.8758423))) + (((x1 / x0) * (239.62898 / x0)) + ((239.62895 / x0) + (x7 * -0.078834675)))"
