Complexity,Loss,Equation
1,0.1154415,"0.7502252"
2,0.11294036,"260.59702 / x0"
3,0.0681491,"exp(x7 / -5.387033)"
4,0.06648649,"exp(x7 / (-1875.4617 / x0))"
5,0.06381304,"exp(x7 / cube(-610.12067 / x0))"
6,0.062916525,"inv(x0) * ((x7 - 7.5676537) * -43.662113)"
7,0.061018676,"square(inv(x0) * ((x7 - 13.523707) * 25.14592))"
8,0.052293457,"inv(x0 - x1) * ((x7 - 7.569226) * -38.04428)"
10,0.047578584,"(-36.158848 - x3) * (inv(x0 - x1) * (x7 - 7.6813483))"
11,0.04679905,"(inv(x0 - x1) * (x7 + -7.618651)) * (-35.887817 - square(x3))"
12,0.045852955,"((-35.888073 - (x3 * 2.0817702)) * inv(x0 - x1)) * (x7 - 7.531535)"
13,0.041762926,"((x7 + 4.603349) - log(x2)) * ((-36.3478 - x3) * inv(x0 - x1))"
14,0.040763613,"(inv(x0 - x1) * ((x7 + 4.8241334) - log(x2))) * (-36.961987 - square(x3))"
15,0.03955558,"((x7 + 4.750126) - log(x2)) * (inv(x0 - x1) * (-35.831238 - (x3 * 2.20333)))"
18,0.03905015,"(((x7 + 4.7493) - log(x2)) * inv(x0 - x1)) * (log(x5) + (-36.636055 - (x3 * 2.1796162)))"
19,0.03799401,"(((x7 + 4.67254) - log(x2)) * inv(x0 - x1)) * ((neg(x1) * -0.028228488) + (-36.661533 - (x3 * 2.2123365)))"
