Complexity,Loss,Equation
1,0.020436842,"0.7559331"
2,0.01954339,"263.04666 / x0"
3,0.007348217,"exp(x7 * -0.19043612)"
4,0.0071254605,"exp(x7 * -0.17202666) * 0.9669879"
5,0.0063169356,"344.57828 / (x0 - (x7 * -79.28107))"
7,0.004894767,"0.86192393 - ((x7 * 0.12801442) + (x1 * -0.0021319794))"
8,0.0036375925,"(x7 * -0.12806082) + (log(x1 * x2) * 0.060592517)"
9,0.0033511948,"(x7 * (x0 * -0.00037143115)) + (log(x1 * x2) * 0.06070721)"
11,0.0028340966,"(x7 * ((x0 * -0.0018690998) + 0.52251065)) + (log(x1 * x2) * 0.060582433)"
13,0.0026441466,"(1.2717083 - ((x7 * 0.12801331) + (x0 * 0.0036325946))) + (log(x2 * x1) * 0.060108777)"
14,0.0026195897,"(log(x1 * x2) * 0.07235564) + ((x3 * 0.04069675) - ((x7 * 0.12681836) + (x0 * 0.0006819416)))"
15,0.002210331,"(log(x1 * x2) * 0.070507884) + ((x2 * (x3 * 2.086556e-7)) - ((x7 * 0.12682907) + (x0 * 0.00061342237)))"
