Complexity,Loss,Equation
1,0.0075228275,"0.961828"
2,0.006817768,"334.5535 / x0"
3,0.0060821744,"exp(x7 * -0.29790607)"
4,0.004992558,"(x1 * 0.0021745672) - -0.87395257"
5,0.004306248,"((x3 * x1) * 0.0012821687) - -0.8978919"
6,0.0037448925,"(log(x1 * x3) * 0.043798707) - -0.8174718"
7,0.0034800111,"(x7 * -0.34787792) - (-0.9264222 - (x1 * 0.0021745265))"
8,0.0029436115,"(x7 - 2.9274144) * ((log(x1) * -0.020222884) - 0.2777537)"
9,0.0027889856,"exp(x7 * -0.36251423) * (((x1 * x3) * 0.001351733) - -0.94762576)"
10,0.0027863826,"exp(x7 * -0.3693463) - ((x1 * (x3 * -0.0012824651)) - -0.048760973)"
11,0.002781217,"((x1 - x5) * (x3 * 0.0013154682)) - (exp(x7 * -0.38839588) * -0.953713)"
12,0.0025952917,"((x1 * 0.0012978606) * x3) - ((-0.91121465 - inv(x4)) * exp(x7 * -0.38965392))"
14,0.0019300601,"((x1 * 0.0022272016) + (x3 * 0.051784076)) - ((-0.8215209 - inv(x4)) * exp(x7 * -0.4334989))"
