Complexity,Loss,Equation
1,0.0075228275,"0.961828"
3,0.006817768,"334.5512 / x0"
4,0.0060342876,"log(2.770119 - x7)"
5,0.004992558,"(x1 * 0.0021743164) - -0.87396884"
6,0.004452312,"0.77092886 - (log(x1) * -0.05623177)"
7,0.004306248,"((x3 * x1) * 0.0012824951) - -0.89786386"
8,0.0034632792,"log((x1 * 0.0057611917) - (x7 + -2.5411751))"
9,0.0030053095,"log((log(x1) * 0.13742352) - (x7 + -2.3073637))"
10,0.0029397705,"(0.82340133 - (x7 * 0.34785587)) - (log(x1) * -0.056228958)"
11,0.0027936883,"((x1 * x3) * 0.0012824612) - (-0.95032823 - (x7 * -0.34785765))"
12,0.0023471266,"((x1 * 0.0022226607) - (x3 * -0.051036257)) + (0.84363246 - square(x7))"
13,0.0021004218,"((x1 * 0.002222666) - ((x3 * -0.051036492) + -0.8608449)) - (x7 * 0.3478303)"
14,0.001495998,"(((x3 * 0.052231416) + 0.75276154) - (x7 * 0.34785867)) - (log(x1) * -0.05785698)"
15,0.0014432622,"(((x1 * 0.043975905) + (x3 + 17.397892)) * (17.278349 / x0)) - (x7 * 0.34854543)"
16,0.00082558056,"(((x3 + 14.629743) * 17.986158) / x0) - ((x7 * 0.3498534) + (log(x1) * -0.057072464))"
18,0.00079067337,"(((x3 + 17.705936) * (18.851107 / x0)) + -0.20870863) - ((x7 * 0.34785798) + (log(x1) * -0.05767168))"
19,0.0006647167,"(inv(x4) + ((18.61223 / x0) * (x3 + 13.339749))) - ((x7 * 0.34986916) - (log(x1) * 0.057432532))"
