Complexity,Loss,Equation
1,0.028568178,"0.7134615"
3,0.027608808,"248.30965 / x0"
4,0.011104507,"exp(x7 * -0.2307879)"
5,0.010744422,"3.4501739 / (x7 + 3.4848154)"
7,0.010200129,"exp((x7 / -5.0227036) - inv(x1))"
8,0.009196693,"exp((x7 / -4.647108) - (0.38410854 / x1))"
9,0.007959049,"exp((x7 / -4.9187036) - inv(x1 + 1.4912614))"
10,0.0073293108,"(log(x1) * 0.056941938) - (-1.881695 / (x7 + 2.313303))"
12,0.0072782724,"((log(x1) * 0.058022156) - (-3.3752415 / (x7 + 3.4423258))) + -0.1870246"
13,0.0070763472,"(100.20528 / (x7 + 3.5361857)) * ((inv(x0) * log(x1)) - -0.0250951)"
15,0.0070055514,"((x1 * -0.06345531) - (78.90201 / (x7 + 3.002848))) * ((x0 / 5061.4424) + -0.10316598)"
16,0.0062410645,"(79.549835 / (x7 + 3.5520635)) * ((log(x1) * 0.0034905607) - ((x0 / 4258.889) + -0.11392008))"
