Complexity,Loss,Equation
1,0.028568182,"0.71341556"
3,0.027608814,"248.28127 / x0"
4,0.01110451,"exp(x7 * -0.23075797)"
6,0.010746236,"inv((x7 * 0.29299164) + 1.0081302)"
7,0.010067541,"343.6755 / (x0 - (x7 * -98.78648))"
8,0.009202164,"exp((-0.39670265 / x1) + (x7 / -4.700642))"
9,0.007827174,"299.67163 / ((x0 - x1) + (x7 * 83.18277))"
11,0.007504022,"(295.81558 / x0) - ((x1 * -0.0021849307) - (x7 * -0.14808804))"
12,0.006765772,"((log(x1) * 0.0535807) - (-264.47845 / x0)) - (x7 * 0.15129855)"
14,0.0066915574,"(log(x1) * 0.05727305) - ((-285.70898 / x0) - ((x7 - -0.5118802) * -0.14694604))"
17,0.00656507,"(((x3 * 0.032192625) - (-516.2361 / x0)) - 0.68229043) - ((x1 * -0.002280825) + (x7 * 0.14456207))"
