Complexity,Loss,Equation
1,0.020436844,"0.75594157"
3,0.0195434,"263.01456 / x0"
4,0.007348247,"exp(x7 * -0.19028458)"
5,0.0070275893,"4.453259 / (x7 - -4.514824)"
7,0.006315458,"4.3638124 / (x7 - (x0 * -0.012663204))"
8,0.0057997103,"4.316164 / (x7 - (-4.2709246 - inv(x1)))"
9,0.005503597,"4.701864 / ((x7 - -4.632423) - (-3.1482234 / x1))"
10,0.0049015367,"4.370216 / ((x7 - -5.003699) - inv(73.50694 / x1))"
11,0.004090394,"(5.554928 / (x7 - -5.2100883)) - (-3.4429982 / (-12.397864 - x1))"
12,0.0040417234,"(5.613522 / (x7 - -5.280944)) - (-3.5544124 / (log(x6) - x1))"
13,0.0039499477,"(5.684533 / (x7 - -5.2006965)) - (x0 * (-0.014194676 / (-17.553299 - x1)))"
15,0.003286845,"(5.6644497 / (x7 - (x0 * -0.015084651))) - ((x0 * -0.013434285) / (-17.670477 - x1))"
17,0.0031871237,"(5.6644235 / (x7 - (x0 * -0.014882933))) - ((x0 * -0.014882933) / ((-17.56113 - x1) - x3))"
18,0.0030204041,"(5.6644235 / (x7 - (x0 * -0.015038919))) - ((x0 * -0.014884508) / ((-17.56113 - x1) - cube(x3)))"
