Complexity,Loss,Equation
1,0.02043685,"0.7558709"
3,0.02043682,"0.7561148 - x6"
4,0.019563586,"inv(x0) * 261.48425"
5,0.0073288097,"(x7 * -0.12775244) + 0.9462689"
6,0.007026952,"inv((x7 * 0.22818977) + 1.0108639)"
8,0.007025709,"inv((x7 * 0.1516961) + 0.6825433) / 1.4880435"
9,0.0049112136,"((x1 * 0.002227235) + (x7 * -0.12762746)) + 0.86088145"
10,0.0043623457,"(log(x1) * 0.058375333) + ((x7 * -0.12770884) - -0.74747646)"
11,0.004232025,"(log(x1) * 0.05286129) + square((x7 * -0.08761861) - -0.88428074)"
13,0.004016067,"(x1 * 0.0022179782) + (((x7 * -0.13112673) + (x2 * 4.9960823e-7)) - -0.7580998)"
14,0.0033507913,"(log(x1) * 0.056400467) + ((x7 * -0.13087013) + ((x2 * 6.2137957e-7) - -0.62398565))"
16,0.0033462744,"(log(x1 / 2.3726554) * 0.056136936) + (((x7 * -0.12924783) + (x2 * 7.0384243e-7)) - -0.6544292)"
