Complexity,Loss,Equation
1,0.020436846,"0.7559596"
3,0.019543558,"262.90363 / x0"
4,0.0073482427,"exp(x7 * -0.19029504)"
5,0.0073268786,"(x7 * -0.12822466) - -0.94813335"
6,0.007027176,"inv((x7 * 0.2251804) - -1.0131912)"
8,0.0064166845,"(x1 * 0.0010046944) + exp(x7 * -0.22577375)"
9,0.004937182,"(x1 * 0.002372131) - ((x7 * 0.13146996) + -0.8588208)"
10,0.004726319,"exp(x7 * -0.17095447) + ((x1 * 0.0021291191) - 0.10885291)"
11,0.0047063325,"((x1 * 0.0021607522) - 0.1232394) + square(exp(x7 * -0.08059538))"
12,0.0042571,"(exp(x1 * -0.060413305) * -0.2140711) + square(exp(x7 * -0.07894227))"
