Complexity,Loss,Equation
5,0.010508359,"a = 1.0132672; b = #7; c = 0.06079287; d = 0.13090552; e = -0.32617816"
6,0.009242552,"a = 0.9493543; b = #7; c = 0.14057112; d = 0.19515589; e = neg(#2)"
7,0.008277364,"a = 0.8150413; b = 0.03607741; c = 0.12077918; d = #2 * -0.00041904798; e = -0.008174162"
9,0.008113655,"a = 0.9807587; b = 0.0055368203; c = 1.5332146 / (#2 - -9.580383); d = 0.19505827; e = -0.7308048"
10,0.008004507,"a = 0.9045313; b = 0.01795832; c = 1.7414298 / (#2 - log(#7)); d = #1; e = -3987.8142"
11,0.0074715624,"a = 4.9039993; b = -0.48875228; c = 3.0267947 / (#2 - -19.618979); d = 0.57190925; e = -0.27469698 / #1"
13,0.007435471,"a = 1.0554602; b = -0.00725308; c = 1.8428147 / (#2 - log(#7)); d = 0.15624693; e = inv(#4 + -5.155418)"
14,0.0070495503,"a = inv(#1 * 0.0028587314); b = 0.0014232226; c = (#6 / (#2 - -5.129567)) * 0.32591873; d = 0.19306672; e = -0.46841466"
16,0.0070461207,"a = inv(#1 * 0.0028587314); b = 0.03074044 / #5; c = (#6 / (#2 - -5.129567)) * 0.32591873; d = 0.19306672; e = -0.46841466"
18,0.0069085294,"a = inv((#1 - #4) * 0.0028587314); b = 0.03074044 / #5; c = (#6 / (#2 - -5.129567)) * 0.32591873; d = 0.19306672; e = -0.46841466"
19,0.0064763078,"a = inv(#1 * 0.0029262616); b = 0.006386592; c = (#6 / (#2 - -5.1231747)) * 0.28410208; d = 0.19306672; e = inv((#4 + -5.1231747) * 0.48120776)"
21,0.0064294846,"a = inv(#1 * 0.0029262616); b = #4 / #1; c = (#6 / (#2 - -5.129567)) * 0.28410208; d = 0.19306672; e = inv((#4 + -5.1231747) * 0.48120776)"
22,0.006343911,"a = inv(#1 * 0.0029262616); b = square(#4) / #1; c = (#6 / (#2 - -5.129567)) * 0.28410208; d = 0.19306672; e = inv((#4 + -5.1231747) * 0.48120776)"
26,0.0063199187,"a = inv(#1 * 0.0029262616); b = -1.8793446 / ((#3 * inv(#4)) * -0.0015036608); c = (#6 / (#2 - -5.1231747)) * 0.28410208; d = 0.19306672; e = inv((#4 + -5.1231747) * 0.48120776)"
28,0.0063091703,"a = inv(#1 * (#7 + 0.0029262616)); b = -1.8793446 / (#3 * inv(#4 / -0.0015036608)); c = (#6 / (#2 - -5.1231747)) * 0.28410208; d = 0.19306672; e = inv((#4 + -5.1231747) * 0.48120776)"
