Complexity,Loss,Equation
1,7.6575475e6,"212.22078"
3,7.596968e6,"661.859 / x3"
5,6.7233975e6,"x4 / (0.00018155877 + x14)"
7,2.3998638e6,"x6 / ((0.7500928 * x3) - x4)"
9,618462.3,"4.7626863 / (((0.7500928 + x14) * x3) - x4)"
11,598740.0,"x0 / (((0.7564955 - (x14 / -0.0019254097)) * x3) - x4)"
13,576327.06,"x6 * (x0 / (((0.7704136 * x3) - (x2 * x14)) - x4))"
15,563073.1,"x6 * (x0 / ((((0.7704136 + x15) * x3) - (x14 * x2)) - x4))"
17,513370.12,"((x0 / (((x3 * 0.7734496) - ((x15 + x14) * -876.11084)) - x4)) * x3) * x6"
19,473784.22,"(((x0 / ((((x14 + x15) * x2) + (0.7741712 * x3)) - x4)) * x3) * x6) / x4"
