Complexity,Loss,Equation
1,947.6798,"-38.270706"
3,924.22614,"x4 + -65.73459"
4,902.2753,"-34.41138 - cube(x3)"
5,886.1235,"(x3 * -10.618691) + -25.029196"
6,874.6125,"(x4 + -61.73683) - cube(x3)"
7,848.4835,"((-317.34827 / x4) * x3) + -22.897821"
9,838.9429,"(x11 * 214.448) + ((x2 / 3261.0886) + -145.57535)"
10,819.80414,"(x2 / 3239.3362) + ((square(x11) * 500.76727) + -125.51869)"
11,805.96783,"((x4 + (x10 * 1199.5378)) + -210.28181) + (x2 / 2386.9675)"
12,783.3911,"((square(x11) * 489.76483) + (x2 / 3335.1174)) + (x4 + -150.00475)"
14,766.2313,"(square(x11) * 517.5647) + (x8 * ((x2 / 2458.2932) + (x4 + -183.18709)))"
16,747.38983,"((square(x11) * 429.7754) + (x2 / 3279.0903)) + ((x4 - (x3 * 9.369014)) + -138.37483)"
18,745.5376,"((square(x11) * 431.82376) + ((x2 / 3280.7166) + (x4 + -130.81204))) - ((x3 - -0.87483793) * 8.555231)"
