Complexity,Loss,Equation
1,8.798162,"3.7589555"
3,3.7451034,"x1 * 2.5911768e-5"
4,3.0602622,"square(x1 * 1.1049481e-5)"
5,0.9143481,"(x1 * 3.3801498e-5) - x17"
7,0.31424233,"(x2 * 4.3191434e-5) + (x17 * -1.8579807)"
9,0.25424558,"(x2 * 4.3098986e-5) + (x17 * (x0 * -0.005473204))"
11,0.15668085,"(x2 * 4.2253843e-5) + (x17 * ((x0 * -0.025595589) - -6.889899))"
13,0.14831898,"((x2 * 4.0578492e-5) + 0.34201047) + (((x0 * -0.027861416) - -7.612842) * x17)"
14,0.10477419,"(sqrt(x9 / x2) * (x0 * -6.722867)) + ((x17 * -1.8044689) - -20.128006)"
16,0.09297361,"(sqrt(x9 / x2) * (x0 * -6.5956793)) + ((x17 * (x0 * -0.005333931)) - -19.87426)"
18,0.089884035,"(((x17 + 1.4821619) * (x0 * -0.0053320015)) - -22.284925) + (x0 * ((x9 * -2.8911436) / sqrt(x2)))"
