Complexity,Loss,Equation
1,9.056457,"3.9015005"
3,3.6759334,"x1 * 2.6352142e-5"
4,2.895687,"square(x1) * 1.2618259e-10"
5,0.8535678,"(x1 * 3.401184e-5) - x17"
7,0.34380418,"(x1 * 3.8932183e-5) - (x17 / 0.6088927)"
9,0.32027778,"(x1 * 3.6858844e-5) - ((x17 / 0.5749219) - 0.5201832)"
11,0.32027775,"(x1 * 3.685781e-5) - (((x17 - x16) - -0.70109) / 0.5750255)"
13,0.31237972,"cube(log(x1) + -10.580328) - ((x8 + 1.450227) * (x17 - 2.0062308))"
14,0.27009583,"cube(log(x1) + -10.579915) - ((sqrt(x17) - 1.4281851) * (x17 + 2.9012368))"
16,0.2538908,"cube(log(x1) + -13.4063635) - ((sqrt(x17) - 2.1865418) * ((x17 + 2.7347417) * 1.9249605))"
