Complexity,Loss,Equation
1,5.1559277e8,"2241.184"
3,5.045702e8,"Phi_c_des * 7153.9155"
4,4.920229e8,"exp(Phi_c_des * 10.314115)"
5,4.1199613e8,"Phi_a_des / (b_slim / 0.00048217166)"
6,2.5119643e8,"exp((15.366029 / Sc) * Phi_c_des)"
7,3.8432324e7,"exp(exp(Phi_a_des * (Sa / Sc)))"
8,3.4460268e7,"exp((Phi_c_des / (b_slim + 0.073302954)) * Phi_a_des)"
9,3.3887932e7,"exp(exp(((Phi_c_des - b_slim) / 0.59688604) + Phi_a_des))"
10,3.3858776e7,"exp(tau + ((Phi_a_des * Phi_c_des) / (0.09700096 - b_slim)))"
11,3.070707e7,"exp(-2.0550103 / Phi_a_des) * exp((Phi_c_des - b_slim) * 15.924304)"
12,3.0564468e7,"sin(1.2398125 / Phi_a_des) * exp(exp((Phi_c_des - b_slim) * 2.7914884))"
13,2.427617e7,"exp(((Phi_c_des - b_slim) - a_slim) * 15.224234) * exp(-1.4242829 / Phi_a_des)"
15,1.8979924e7,"exp(sin((cos(kappa_co) * 3.3949256) / Phi_a_des) * exp((Phi_c_des - b_slim) * 3.2578769))"
16,1.7828896e7,"exp(sin(sin(cos(Tfc * kappa_co) / Phi_a_des)) * exp((Phi_c_des - b_slim) * 3.1128623))"
17,1.7657886e7,"exp(sin((cos(kappa_co * Tfc) / Phi_a_des) * 0.9843227) * exp((Phi_c_des - b_slim) * 2.9895205))"
19,1.7470532e7,"exp(sin(0.9840219 * (cos(Tfc * kappa_co) / Phi_a_des)) * exp((Phi_c_des - b_slim) * 2.9899995)) + -420.55322"
20,1.7470226e7,"exp(sin(cos(Tfc * kappa_co) * (0.9840219 / Phi_a_des)) * exp((Phi_c_des - sin(b_slim)) * 2.9899995)) + -420.55322"
