Complexity,Loss,Equation
1,5.1559277e8,"2241.1821"
3,4.8092317e8,"0.0001772637 / b_slim"
5,4.1199613e8,"(Phi_a_des * 0.0004820826) / b_slim"
6,2.5119643e8,"exp((Phi_c_des * 15.36628) / Sc)"
7,1.701683e8,"Phi_a_des * ((epsilon_c / b_slim) / i0_c_ref)"
8,3.0615894e7,"exp((Phi_c_des + (Phi_a_des / Sc)) * 7.0846624)"
10,2.4283406e7,"exp((Phi_c_des * (Phi_a_des + (2.9353843 / Sc))) * 3.9586167)"
12,1.8887698e7,"kappa_co * ((Phi_a_des + -0.34944826) * exp((Phi_c_des * 13.488035) / Sc))"
14,1.8093876e7,"kappa_co * ((Phi_a_des + (-0.3228756 / Phi_c_des)) * exp(Phi_c_des * (13.488035 / Sc)))"
15,1.4641936e7,"exp((Phi_a_des * 5.1944356) * cos(Tfc)) / (b_slim / (Re / (Phi_c_des - 0.48241955)))"
16,1.4178648e7,"exp((Phi_a_des * cos(Tfc)) * 4.9253902) / (b_slim / (Re / (sin(Phi_c_des) - 0.46429193)))"
17,7.2265735e6,"exp(((Phi_a_des * 3.5436559) + 4.0923963) * cos(Tfc)) / ((b_slim / Re) / (Phi_c_des - 0.6920516))"
18,7.2103745e6,"exp(((Phi_a_des * 3.5442486) + 4.105744) * cos(Tfc)) / ((b_slim / Re) / sin(Phi_c_des - 0.69346476))"
19,7.055629e6,"(exp(((Phi_a_des * 3.4806309) + 4.1673427) * cos(Tfc)) + -12.31993) / ((b_slim / Re) / (Phi_c_des - 0.6933022))"
20,7.044059e6,"exp(cos(Tfc) * ((Phi_a_des * 3.5534296) + (cos(Tfc) * 4.089119))) / ((b_slim / Re) / (Phi_c_des - 0.69335294))"
