Complexity,Loss,Equation
1,3.217501e8,"1917.5753"
3,3.142312e8,"7013.204 / x4"
4,3.1077965e8,"exp(x6 * 9.934948)"
5,2.4977915e8,"x5 / (x17 / 0.00046844417)"
6,1.8600798e8,"exp((x6 * 14.92655) / x4)"
8,1.6590452e7,"exp((x6 + (x5 / x4)) * 7.0859447)"
9,1.4634671e7,"exp((x6 + sin(x5 / x4)) * 7.4891934)"
10,8.820902e6,"exp((x6 * 4.7402253) * ((x5 + 2.4535306) / x4))"
12,8.764627e6,"exp(((x5 + 2.4706113) * (4.716599 / x4)) * (x6 - x17))"
14,8.755393e6,"exp((x5 + 2.4706113) * ((x6 - x17) * (4.716599 / x4))) + x14"
15,8.699424e6,"exp((x5 + 2.4264345) * ((x6 * 4.7771664) / x4)) + (x14 * exp(x3))"
17,8.661601e6,"(x14 * exp(x3)) + exp((x5 + 2.4947176) * (((x6 * 4.683698) / x4) - x16))"
19,1.1356984e6,"x14 * exp((exp(sin(x5) + 1.1007936) + 20.84599) - (exp(x17 - x6) * (x4 * 37.168785)))"
21,603876.94,"(x14 - 6.5126886) * exp((14.655452 + exp(sin(x5) + 1.2584647)) - ((exp(x17 - x6) * x4) * 25.547367))"
23,603846.1,"(x14 - 6.5126886) * (exp((14.655452 + exp(sin(x5) + 1.2584647)) - ((exp(x16 - x6) * x4) * 25.547367)) - x10)"
24,603827.8,"((x14 - 6.5126886) * exp((14.655452 + exp(1.2584647 + sin(x5))) - ((exp(x16 - x6) * x4) * 25.547367))) - log(x10)"
25,508286.47,"(x14 - 5.9086876) * exp(exp(sin(x5) + 1.2692496) + ((15.43928 - (exp(x17 - x6) * (x4 * 25.869684))) - (x7 + x10)))"
27,496178.84,"exp((exp(sin(x5) + 1.2678607) + (15.439133 - ((exp(x17 - x6) * x4) * 25.869764))) - (x7 + x10)) * ((x14 - 5.574693) - x10)"
29,496147.38,"((x14 - 5.574693) - x10) * (exp((exp(sin(x5) + 1.2678607) + (15.439133 - ((exp(x17 - x6) * x4) * 25.869764))) - (x7 + x10)) - x10)"
30,496142.06,"(exp(((exp(sin(x5) + 1.2678607) + 15.439133) - ((exp(x17 - x6) * x4) * 25.869764)) - (x10 + x7)) * ((x14 - 5.574693) - x10)) - log(x10)"
