Complexity,Loss,Equation
1,5.893209e8,"2352.1802"
3,5.5135565e8,"0.00018539652 / x17"
4,5.3079443e8,"x8 / sqrt(x17)"
5,5.009667e8,"0.0008006108 / (x17 + x16)"
6,4.2249363e8,"0.0007382364 / (x17 + log(x5))"
7,1.3689986e8,"square(x12 / (x17 + log(x5)))"
8,9.138566e7,"0.0043134266 / (x17 + (x16 - log(x5)))"
9,9.138535e7,"21.569277 / (sqrt(x17) + (x16 - log(x5)))"
10,9.13785e7,"(0.0043134266 / ((x17 + x16) - log(x5))) - x14"
11,9.061026e7,"21.67454 / (sqrt(x17) - (log(x5) - (x16 / x19)))"
13,8.5050936e7,"24.084171 / ((sqrt(x17) - log(x5)) - (x16 / (-0.0013281207 / x19)))"
14,8.446667e7,"cube(x8) / ((sqrt(x17) - log(x5)) - (-0.7035703 / (39243.082 / x19)))"
15,8.305451e7,"26.419971 / ((sqrt(x17) - log(x5)) - ((x16 * 7120.1606) / (-4.398511 / x19)))"
17,8.304054e7,"(x6 * 29.353191) / ((sqrt(x17) - log(x5)) - ((x16 * 7738.1367) / (-4.782474 / x19)))"
18,8.303436e7,"exp(x6 * 3.637795) / ((sqrt(x17) - log(x5)) - ((x16 * 6031.518) / (-3.7273624 / x19)))"
19,8.303254e7,"exp(square(x6 * 2.0103922)) / ((sqrt(x17) - log(x5)) - ((x16 * 4290.202) / (-2.6535394 / x19)))"
