Complexity,Loss,Equation
1,5.89946e8,"2250.308"
3,5.779775e8,"exp(square(x3))"
4,5.654949e8,"exp(x6 * 10.335338)"
5,5.0152003e8,"(x6 * 49556.27) / x4"
6,3.1851056e8,"exp(x6 * (15.383034 / x4))"
7,3.1823853e8,"exp(exp((x6 * 4.05072) - x4))"
8,1.5782878e8,"19339.617 / ((x4 / x5) - log(x3))"
9,9.89728e7,"225.33101 / cube((x4 / x5) - log(x3))"
11,9.207865e7,"cube(x6) * (-28737.977 / (cube(x4) * (x5 - 1.0562317)))"
12,8.8616456e7,"(-76420.15 / (cube(x4) * (x5 - 1.079304))) * cube(cube(x6))"
14,8.859563e7,"(-84953.78 / (cube(x4) * (x5 - 1.0792943))) * (cube(cube(x6)) * x6)"
15,8.010861e7,"(cube(x6) * -44999.35) / ((cube(x4) - (x19 * -0.35652015)) * (x5 - 1.0681167))"
16,7.947761e7,"(cube(x6) * -76999.53) / ((cube(x5) - 1.1167661) * (cube(x4) - (x19 * -0.35525537)))"
17,7.629936e7,"(cube(x6 * x6) * -86755.98) / ((x5 - 1.0949453) * (cube(x4) - (x19 * -0.3738708)))"
