Complexity,Loss,Equation
1,5.864368e8,"2476.4924"
3,5.718722e8,"exp(square(x3))"
4,5.193289e8,"x8 / sqrt(x17)"
5,4.9197056e8,"(x6 * 50755.332) / x4"
6,3.440727e8,"cube(x6 / x4) * 215008.12"
7,3.1691603e8,"cube(exp((x6 / 0.17868681) - x4))"
8,8.207388e7,"cube((x6 / x4) * x5) * 505715.28"
9,8.203673e7,"cube((x5 * x6) / exp(x4)) * 1.0711648e7"
10,7.791236e7,"(square(x5) * 1.1894522e6) * square(cube(x6 / x4))"
11,7.619119e7,"((x5 * 1.7917791e6) + -588150.06) * cube(square(x6 / x4))"
12,6.95572e7,"((x5 * 636097.0) + (x19 * -111192.45)) * cube(x6 / x4)"
13,5.0462304e7,"cube(square(x6 / x4)) * ((x5 * 1.5555086e6) + (x19 * -267538.16))"
15,4.455581e7,"square(cube(x6 / x4)) * (((0.1395895 - x5) * -1.765083e6) + (x19 * -211907.84))"
19,4.181934e7,"square(cube(x6 / x4)) * ((37042.42 / (x10 - x5)) - ((x5 * -1.5653734e6) + (x19 * 207569.14)))"
20,4.1067068e7,"square(cube(x6 / x4)) * ((square(x13) / (x10 - x5)) - ((x5 * -1.5673974e6) + (x19 * 223462.92)))"
