Complexity,Loss,Equation
1,5.9778944e8,"2173.305"
3,5.86773e8,"x6 * 7047.706"
4,5.6472256e8,"log(x17) * -944.4215"
5,4.9842442e8,"-12505.769 / (x6 - x4)"
6,4.0437632e8,"square(x6 * (368.3716 / x4))"
7,3.309531e8,"1497.9368 / ((x6 - -0.3148703) - x4)"
8,1.3511326e8,"square((x6 * x5) * (592.73315 / x4))"
9,1.04545016e8,"cube(x6 * x5) * square(648.0855 / x4)"
10,9.78042e7,"(cube(x5) * 745.24854) / ((x6 - -0.30346206) - x4)"
12,9.7732376e7,"(1983.3822 / ((x6 - -0.3092242) - (x4 + x17))) * cube(x5)"
13,9.131796e7,"((square(x5) * -1866.0416) / ((x6 - -0.46234465) - x4)) * log(x17)"
15,7.388249e7,"((square(x5) * -1253.4639) + (x19 * 139.75717)) * (log(x17) / (x4 - 1.1092665))"
16,6.944964e7,"((square(x5) * -620.14197) + cube(x19 + 3.0655038)) * (log(x17) / (x4 - 1.1554261))"
18,6.5582308e7,"((square(x5) * -665.14984) + cube(x19 + 3.1884089)) * ((x5 + log(x17)) / (x4 - 1.1550052))"
