Complexity,Loss,Equation
1,5.269438e8,"1942.259"
3,5.010363e8,"0.00015194528 / x17"
4,4.8954637e8,"x8 / sqrt(x17)"
5,4.474638e8,"x5 * (0.00042106345 / x17)"
6,2.3548414e8,"square(x5 * (x12 / x17))"
7,1.5297598e8,"square(cube(x5) * (x12 / x17))"
8,1.02798024e8,"square((x5 * x12) * (x6 / x17))"
9,1.01796664e8,"cube(x5) * square(x12 * (x6 / x17))"
10,9.741734e7,"cube(((x5 * x12) / x17) * (x6 * 0.13331786))"
12,9.361167e7,"cube(((x6 - x10) * 0.1846729) * ((x5 * x12) / x17))"
15,7.42741e7,"(((x12 / x17) * -1.6630806) * (x13 + -507.2392)) * (x5 - (x19 * 0.19941244))"
16,6.716914e7,"(((x12 / x17) * (x13 + -512.64703)) * (square(x5) - (x19 * 0.11225742))) * -1.5194067"
17,5.9914256e7,"(((x12 / x17) * (x13 + -510.50037)) * -1.9834096) * (x5 - ((x19 + 1.4796782) * 0.12442486))"
19,5.8975104e7,"((x12 / x17) * ((x13 + -558.7173) * (1.2414747 - x8))) * (x5 - ((x19 + 1.5366141) * 0.123912714))"
