Complexity,Loss,Equation
1,0.020594046,"0.7549771"
3,0.019727344,"262.64572 / x0"
4,0.019571744,"91199.19 / square(x0)"
5,0.017567476,"230.71353 / (x0 - x1)"
6,0.017522344,"0.5674409 - (log(x1) * -0.055385474)"
7,0.017427525,"(233.6904 / x0) - (x1 * -0.0020762088)"
8,0.016604934,"204.08766 / (x0 - (log(x1) * 22.380741))"
10,0.016269486,"203.11182 / (x0 - (log(x1) * (x3 + 21.498524)))"
11,0.01612629,"202.70567 / ((x0 - cube(x3)) - (log(x1) * 21.845762))"
13,0.0159657,"200.60258 / ((x0 - cube(x3)) - (log(x1) * (x3 + 21.30146)))"
15,0.015758557,"(x3 + (x1 + (x2 * 2.1007581e-5))) * (293.4725 / (x0 * (x1 - -9.64533)))"
17,0.015663138,"((x3 - -2.0731099) + (x1 + (x2 * 1.8105036e-5))) * (292.94553 / (x0 * (x1 - -11.285532)))"
19,0.015618619,"(292.93396 / ((x0 - x3) * (x1 - -11.446026))) * (((x3 - -2.0730667) + x1) + (x2 * 1.831225e-5))"
