Complexity,Loss,Equation
1,0.020594046,"0.75497985"
3,0.019727344,"262.6456 / x0"
4,0.0074848034,"exp(x7 * -0.19090702)"
5,0.007455111,"(x7 * -0.12785189) - -0.9471807"
6,0.0071456716,"inv((x7 * 0.22670114) + 1.0149016)"
8,0.0064339,"((x7 * -0.1279736) - log(x0)) + 6.799089"
9,0.004996916,"((x7 * -0.1280594) + (x1 * 0.0021455106)) - -0.86143047"
10,0.0040941862,"(-302.0144 - x1) * inv((x7 * -76.926056) - x0)"
12,0.004007515,"inv((x7 * -76.17659) - x0) * (-300.02252 - (x1 + x3))"
13,0.0036839584,"inv((x7 * -77.411804) - x0) * (-298.67374 - (cube(x3) + x1))"
14,0.0033142057,"((x0 * -0.0037487673) - ((x7 * 0.12807195) + -2.0648508)) - (log(x1) * -0.05523012)"
16,0.0031640376,"((x3 - x0) * 0.0039988216) - (((x7 * 0.1280865) + -2.146629) - (log(x1) * 0.055305522))"
17,0.0027102034,"((cube(x3) - x0) * 0.0042220447) - (((x7 * 0.12815845) + -2.211704) - (log(x1) * 0.05568744))"
19,0.0026503236,"((cube(x3) - (x0 - x3)) * 0.0041630454) - (((x7 * 0.1281593) + -2.1858892) - (log(x1) * 0.055782422))"
