Complexity,Loss,Equation
1,0.020436842,"0.75593835"
3,0.01954339,"263.04724 / x0"
4,0.007348217,"exp(x7 / -5.251258)"
5,0.0073267794,"(x7 * -0.12801181) - -0.94806194"
6,0.00702529,"inv((x7 * 0.22630247) - -1.0141544)"
7,0.0063092834,"342.14023 / ((x7 * 76.47788) + x0)"
8,0.0062327133,"square((x7 * -0.07408478) + (339.96768 / x0))"
9,0.003980692,"(x1 + 301.33047) / ((x7 * 76.07263) + x0)"
11,0.003822985,"((x1 + 468.31433) / (x0 + (x7 * 42.403465))) + -0.49108627"
12,0.0035011088,"((x7 + -5.9527416) + (log(x1) * -0.43010026)) * (-44.492275 / x0)"
13,0.003380643,"(-44.478905 / x0) * ((x7 + -6.727935) - ((x2 * x1) * 7.9297905e-8))"
14,0.0033127149,"(log(x1) * 0.05502253) + (((x7 + -11.744665) * (-44.39643 / x0)) + -0.7384293)"
15,0.0032531936,"(-0.5328891 - (x2 * (x1 * -1.0034796e-8))) + ((-43.957455 / x0) * (x7 + -11.012464))"
16,0.0026693183,"(((x7 + -11.504769) * (-44.268944 / x0)) + -1.4581693) + (log(x1 * x2) * 0.060122784)"
19,0.0024821989,"(-0.5298052 - (x1 * (x2 * -1.0333565e-8))) + ((x7 + -10.611558) * ((x3 * -0.0041276976) + (-43.873825 / x0)))"
