Complexity,Loss,Equation
1,0.007256066,"0.8675114"
3,0.006526029,"305.44028 / x0"
4,0.006484798,"log(838.3044 / x0)"
5,0.0051779062,"(x1 * 0.0019902592) + 0.78968054"
6,0.0043101083,"(log(x1) * 0.050915197) + 0.69697386"
7,0.0036732652,"((x1 * x3) * 0.0013800754) + 0.79814285"
8,0.0025556406,"0.6025758 - ((x3 + log(x1)) * -0.056597643)"
10,0.0025495754,"((log(x1) * 0.05547214) - (x3 * -0.059435852)) + 0.60256577"
11,0.002018557,"(inv(x0) * 214.25377) + ((x3 + log(x1)) * 0.055354442)"
12,0.0018505576,"(0.46558616 - (x2 * -5.9163835e-7)) + ((x3 + log(x1)) * 0.061180465)"
15,0.0018502634,"((neg(x3) - log(x1)) * -0.061197814) + (((x0 - x2) * -5.926029e-7) + 0.4655206)"
16,0.00078247365,"((1.9085902 - (x2 * -7.4716695e-7)) - (x0 * 0.0041899863)) + ((x3 + log(x1)) * 0.06164635)"
17,0.00078244467,"((1.9095994 - (x2 * -7.4441675e-7)) - (x0 * 0.004191001)) + ((neg(x3) - log(x1)) * -0.061625462)"
19,0.00077992596,"((1.9083385 - (x2 * -7.45317e-7)) - ((x6 + 0.004185046) * x0)) + ((neg(x3) - log(x1)) * -0.06160916)"
