Complexity,Loss,Equation
1,0.0004917369,"0.08947254"
3,0.00047509465,"31.518637 / x0"
4,0.00042022805,"-1.1618416 / log(x6)"
5,0.00032655447,"(x3 * 0.018083766) - -0.06539164"
6,0.00031422178,"neg(inv(log(x6) + x3))"
7,0.00031107172,"((x3 * 6.3282685) + 23.089357) / x0"
8,0.00021043864,"((x3 / inv(x6)) + 1.0525231e-5) * 6360.6226"
10,0.00018238094,"(9578.099 / inv(x6)) + ((x3 * 0.018807752) - -0.03857422)"
12,0.00018232138,"((9578.099 / inv(x6)) + -4690.651) - (-4690.6895 - (x3 * 0.018807752))"
14,0.00015994695,"(9578.088 / inv(x6)) + ((x0 * -0.0006111905) - (-0.2540215 - (x3 * 0.018725542)))"
16,0.00015776324,"(9578.088 / inv(x6)) + (((x0 - x5) * -0.0006394793) - (-0.2623276 - (x3 * 0.018763501)))"
20,0.00015690058,"(((x0 - x5) * -0.00064348563) - (-0.2641081 - (x3 * 0.018746378))) + ((9608.277 - (x0 / x5)) / inv(x6))"
