Complexity,Loss,Equation
1,0.010246604,"0.87038577"
3,0.009650115,"302.8841 / x0"
4,0.009409838,"log(x2) * 0.07118894"
5,0.006706671,"-269.76932 / (x1 - x0)"
6,0.004699725,"log(x1 * x2) * 0.056288607"
8,0.0027486389,"log((x2 * x1) * x3) * 0.05634087"
10,0.0021506348,"(log(x1 * x3) * (2.4318857e-7 * x2)) + 0.70746315"
12,0.0019296523,"((x3 * x2) * 3.4267117e-7) - ((log(x1) + 10.507128) * -0.056421157)"
14,0.0016807745,"((x2 * 2.7916323e-7) * (x3 + 1.7809701)) - ((log(x1) + 7.674484) * -0.0630296)"
16,0.001667294,"(((x2 * 2.5581332e-7) + 0.009871468) * (x3 + 1.7669809)) - ((log(x1) + 7.674479) * -0.061764326)"
