Complexity,Loss,Equation
1,0.0008144725,"0.0804649"
3,0.00051988434,"15940.754 / x2"
5,0.0004678786,"(x0 * 45.983192) / x2"
7,0.00038723406,"inv(x2) * (cube(x0) * 0.00038065654)"
8,0.0003167165,"((x0 * 332.7983) + -99842.02) * inv(x2)"
9,0.0003131752,"(-99842.02 + ((x0 - x3) * 332.7983)) / x2"
12,0.00030731707,"(x0 * 9.92419e-7) * (cube(x5) + (cube(x0) * inv(x2)))"
13,0.00029433024,"(((x0 * -0.9999962) + (x0 + -0.00094518735)) * inv(x2)) * cube(x0)"
14,0.0002767681,"((x0 * 3.848778e-6) - 0.0009980933) * (cube(x5) + (inv(x2) * cube(x0)))"
16,0.0002541929,"((x6 * exp(x5)) + ((3.829453e-6 * x0) - 0.0009913438)) * (cube(x0) * inv(x2))"
18,0.00023993355,"(inv(x2) * cube(x0)) * (((x6 / 1.4145873) * exp(x5)) + ((x0 * 3.829453e-6) - 0.0009913438))"
20,0.00023990538,"(inv(x4 + x2) * cube(x0)) * (((x6 / 1.4145873) * exp(x5)) + ((3.829453e-6 * x0) - 0.0009913438))"
