Complexity,Loss,Equation
1,0.0008144725,"0.080464855"
3,0.0005198844,"15940.943 / x2"
5,0.00046787862,"(x0 / x2) * 45.982857"
6,0.00038723406,"(cube(x0) * 0.00038065674) / x2"
7,0.00031671592,"(x0 - 300.02994) * (332.9378 / x2)"
8,0.00031671385,"inv(x2 / ((x0 * 334.03915) + -100272.75))"
9,0.0002991486,"(((x0 - 303.364) + x5) / x2) * 338.2821"
11,0.00027208615,"(287.1526 - neg(cube(x5))) * ((x0 + -296.5749) / x2)"
12,0.0002687198,"((x0 - 134.22357) + cube(x5)) * ((x0 - 280.99765) / x2)"
13,0.0002658056,"((x0 + (-293.48956 - x3)) / x2) * (276.0873 - neg(cube(x5)))"
15,0.00024274737,"inv(x2 / 1843.2131) * ((x5 + -35.532043) + (log(x6) + (x0 * 0.15646867)))"
17,0.00023782968,"(((x0 * 0.15677471) + log(x6)) + (x5 + -35.532043)) * inv((x2 / 1843.2131) + x3)"
18,0.00022645011,"((x5 + -35.375576) + ((x0 * 0.15683888) + log(x6))) * inv(cube(x3) + (x2 / 1843.2131))"
