Complexity,Loss,Equation
1,0.0014004594,"0.01942837"
3,0.0013257788,"0.043962494 / x5"
5,0.0012420233,"(9487.799 / x2) / x5"
6,0.0011801402,"square((55095.457 / x2) / x5)"
8,0.0011800666,"square((55095.457 / (x2 - x0)) / x5)"
10,0.0011798205,"square((55095.457 / x2) / x5) - (x4 * x6)"
11,0.0011559261,"(x6 - ((5.631878 / x2) / x5)) * cube(log(x6))"
13,0.0011447688,"((-9.456604 / x2) / x5) * (cube(log(x6)) - (x2 * -0.005757756))"
15,0.0011291661,"((-6.615605 / x2) / (x5 + -0.48045176)) * (cube(log(x6)) - (x2 * -0.0057016285))"
17,0.0010292588,"(cube(log(x6)) - (x2 * -0.0064224377)) * ((-6.6168327 / x2) / (x5 - (x3 * 0.45797837)))"
19,0.0010292011,"(cube(log(x6)) - ((x2 * -0.0064224377) + x3)) * ((-6.6168327 / x2) / (x5 - (x3 * 0.45797837)))"
20,0.0010281395,"(cube(log(x6)) - ((x2 * -0.0064224377) + cube(x5))) * ((-6.6168327 / x2) / (x5 - (x3 * 0.45797837)))"
