Complexity,Loss,Equation
1,0.0072560664,"0.8675273"
3,0.00652603,"305.4346 / x0"
4,0.006484798,"log(838.319 / x0)"
5,0.004986301,"-269.48523 / (x1 - x0)"
6,0.0038542596,"log(x1 * x2) * 0.05595082"
7,0.0036732657,"((x1 * x3) * 0.0013800882) - -0.79814184"
8,0.0025556406,"((log(x1) + x3) - -10.644989) * 0.05660391"
10,0.0025375036,"(log(x1 + 0.046642218) + (x3 - -9.851284)) * 0.05964785"
11,0.0019022644,"inv(x0) * (19.642344 * (log(x1) - (-10.867118 - x3)))"
12,0.0018299393,"(x2 / (3.0949378e6 / x3)) + ((log(x1) - -9.6998) * 0.060055993)"
14,0.0017665164,"(((x3 - -0.46735084) * x2) / 3.0949475e6) + ((log(x1) - -9.233655) * 0.059940167)"
15,0.0009942059,"((log(x1) - -9.768585) * (inv(x0) * 21.030119)) + (x2 / (3.094948e6 / x3))"
17,0.00086561945,"((x2 / (3.0949475e6 / x3)) - 0.3184726) + ((inv(x0) * 22.865685) * (log(x1) - -13.626949))"
19,0.0008650773,"(((x2 - x0) / (3.0949475e6 / x3)) - 0.3184726) + ((log(x1) - -13.626949) * (inv(x0) * 22.865685))"
