Complexity,Loss,Equation
1,0.0067194426,"0.87681085"
3,0.0059824586,"309.69568 / x0"
4,0.005258967,"0.9138837 - inv(x1)"
5,0.0045937407,"0.7986447 - (x3 * -0.06363637)"
6,0.003875625,"(x3 + log(x2)) * 0.06532562"
7,0.003500865,"0.80632234 - ((x3 * x1) * -0.0013390947)"
9,0.0034997612,"0.806323 - (x3 * ((0.16909157 + x1) * -0.0013390877))"
10,0.0022234241,"((x3 + log(x2)) * 0.0674405) + (-0.76809275 / x1)"
12,0.0020567116,"((x3 + log(x2)) * x1) / ((x1 + 1.3856311) / 0.06843082)"
14,0.0016194178,"((log(x2) + x3) / x1) * (-0.05589697 - (x1 * (-23.801565 / x0)))"
16,0.001277278,"(0.48469633 - ((x1 / x0) * -25.310663)) * ((log(x2) + x3) / (x1 + 10.722301))"
18,0.0012025683,"((log(x2) + x3) / ((x1 + 11.396529) / -0.42848125)) * ((-7.3201 - x1) * (59.124336 / x0))"
20,0.0011680146,"((log(x2) + x3) / ((x1 + 11.3965025) / -0.43144965)) * (59.12436 * ((-7.320128 - x1) / (x0 + x5)))"
