Complexity,Loss,Equation
1,0.0003976364,"0.08356036"
3,0.0003750616,"29.548582 / x0"
4,0.0003455734,"cube(154.40855 / x0)"
5,0.00027144465,"(x3 * 0.0155037) - -0.06451746"
6,0.00025023124,"inv(log(inv(x6)) - x3)"
8,0.0002430105,"inv(log(inv(x6)) - (x3 * 1.2263873))"
9,0.00019808851,"((x3 * (x6 * x2)) * 0.029269116) - -0.06584209"
11,0.00017318173,"(((x2 * 10.420453) * (x6 * x3)) - -23.240997) / x0"
13,0.00012941493,"(((x6 * 0.030021414) * (x3 * x2)) + 0.49393177) - (x0 * 0.0012131794)"
15,0.0001234074,"((x6 * 0.02708348) * (x2 * (x3 + 0.4375068))) - ((x0 * 0.0012776938) + -0.51246804)"
16,0.00012215128,"((x6 * 0.030082319) * (cube(x4) + (x2 * x3))) - ((x0 * 0.0012298349) + -0.49776563)"
19,0.00012172981,"((x6 / x3) * 4.6091495) + (((x2 * x3) * (x6 * 0.030925954)) - ((x0 * 0.0012291132) + -0.4986602))"
