Complexity,Loss,Equation
1,2962.7864,"-37.341595"
3,2830.6003,"315.89935 - x0"
4,2830.6,"neg(x0 - 315.89917)"
5,2781.777,"-97.65854 - (x2 * -0.00029665697)"
6,2363.522,"inv(x5 - 3.6085956) - x4"
8,2317.151,"-7.035717 - (x4 - inv(x5 - 3.6088114))"
10,2286.834,"neg(square(x5)) - (x4 - inv(x5 - 3.6088114))"
11,2283.8516,"(cube(x5) / -3.4202282) - (x4 - inv(x5 - 3.6088114))"
12,2211.3337,"inv(log(x3 + 0.52686316)) - (x4 - inv(x5 - 3.608315))"
13,2029.3799,"(0.18242547 / (inv(x3) + -1.1184559)) - (inv(x3 - 0.39300236) - -34.494892)"
15,2025.6455,"(0.18242547 / (inv(x3) + -1.1184559)) - (inv(x3 - 0.393001) - (x4 / -0.9027595))"
16,2023.9033,"((0.55249643 / log(x4)) / (inv(x3) + -1.1184559)) - (inv(x3 - 0.39300168) - -34.494892)"
18,2017.8424,"((0.5804594 / log(x4)) / (inv(x3) + -1.1184559)) - (inv(x3 - 0.39270303) - (x4 * -1.1184559))"
20,2010.4752,"((0.57655746 / log(x4)) / (inv(x3) + -1.1184559)) - (inv(x3 - 0.39270246) - ((x4 - x3) * -1.1578354))"
