Complexity,Loss,Equation
1,0.00024080915,"0.110030055"
3,0.00023809489,"x0 / 3164.8044"
4,0.00015845655,"-1.4116277 / log(x6)"
5,0.000100101606,"cube(-6.12137 / log(x6))"
6,8.607992e-5,"-1.2533901 / (log(x6) + x3)"
8,7.218888e-5,"(-2.206854 / log(x6 * x3)) + -0.06292684"
9,7.071779e-5,"-225.36261 / (cube(log(x6)) + cube(square(x3)))"
10,4.8307396e-5,"-216.21263 / (cube(log(x6)) + (cube(x3) * 26.388407))"
12,2.6681995e-5,"(0.06635067 - (x3 * -0.011500792)) + (x0 / inv(x6 * 27.416185))"
14,2.1313901e-5,"(0.06643859 - (x3 * -0.011363904)) + ((x5 + 24.949461) / inv(x0 * x6))"
15,1.956624e-5,"((x0 + cube(x5)) / inv(x6 * 26.292223)) - (-0.06584821 - (x3 * 0.011526174))"
17,1.9322153e-5,"((cube(x5) + (x0 + x5)) / inv(x6 * 26.292076)) + (0.065607436 - (x3 * -0.011561704))"
20,1.9303803e-5,"((0.062695645 - (x3 * -0.011530645)) + inv(x0)) + (((x0 + x5) + cube(x5)) / inv(x6 * 26.358444))"
