Complexity,Loss,Equation
1,0.00029208194,"0.10734974"
3,0.00029062753,"x0 * 0.0003083745"
4,0.0001910155,"-1.3924217 / log(x6)"
5,0.00012030243,"-230.38074 / cube(log(x6))"
6,0.00010762514,"-1.2543157 / (x3 + log(x6))"
8,6.906879e-5,"(-2.141755 / (log(x6) + x3)) + -0.07681016"
9,4.3426997e-5,"cube(-5.8403883 / log(x6)) + (x3 * 0.0118154185)"
11,3.4445726e-5,"(-203.08432 / cube(log(x6))) + ((x5 * x3) * 0.0041554817)"
13,3.169371e-5,"(((x5 * 0.002932792) + 0.0034150186) * x3) + (-203.06245 / cube(log(x6)))"
14,3.1121624e-5,"(-3.7528832 / log(x6)) + (-0.20872115 + ((x3 * 0.011972517) - (x5 * -0.0043658386)))"
16,3.111653e-5,"((-3.7528837 / log(x6)) + -0.20872106) + ((x3 * 0.011973767) + (x5 * (x6 - -0.004363449)))"
18,3.10476e-5,"(((x3 * 0.011973514) + (x6 / 0.011973514)) - (x5 * -0.0043667825)) + ((-3.7528822 / log(x6)) + -0.2087201)"
