Complexity,Loss,Equation
1,0.008012871,"0.89867383"
3,0.007155076,"312.6567 / x0"
4,0.0071211057,"log(854.6285 / x0)"
5,0.0050194124,"275.10837 / (x0 - x1)"
6,0.0048794686,"0.9418576 - inv(x1 + 2.7252336)"
7,0.0046095913,"((x0 - x1) - 662.8515) * -0.0025343853"
8,0.004185571,"271.21768 / (x0 - (x1 + cube(x3)))"
9,0.0037957174,"267.0507 / ((x0 - x1) - square(square(x3)))"
10,0.0031712458,"298.68512 / ((x0 - x1) - cube(x3 + -4.060615))"
12,0.0028727667,"(x1 + 315.2876) * (exp(x3 / 15.024785) / (x0 + 82.189026))"
14,0.0026707924,"(exp(x3 / 30.311428) * ((x1 + 757.3848) / (x0 + 125.49326))) - 0.85750943"
